"id"	"text.id"	"subfile.id"	"spk.ref"	"speech.unit.count"	"word.count"
"629"	"S2A-005"	"1"	"A"	10	423
"630"	"S2A-005"	"1"	"B"	11	285
"631"	"S2A-005"	"1"	"C"	31	1257
"632"	"S2A-006"	"1"	"A"	25	431
"633"	"S2A-006"	"1"	"B"	25	360
"634"	"S2A-006"	"1"	"C"	133	1242
"635"	"S2A-007"	"1"	"A"	126	1177
"636"	"S2A-007"	"1"	"B"	36	440
"637"	"S2A-007"	"1"	"C"	25	385
"638"	"S2A-008"	"1"	"A"	59	977
"639"	"S2A-008"	"1"	"B"	45	619
"640"	"S2A-008"	"1"	"C"	25	398
"641"	"S2A-009"	"1"	"A"	31	403
"642"	"S2A-009"	"1"	"B"	48	885
"643"	"S2A-009"	"1"	"C"	56	709
"644"	"S2A-010"	"1"	"A"	2	31
"645"	"S2A-010"	"1"	"B"	149	1944
"646"	"S2A-010"	"1"	"C"	5	75
"647"	"S2A-011"	"1"	"A"	44	996
"648"	"S2A-011"	"1"	"B"	30	501
"649"	"S2A-011"	"1"	"C"	28	548
"650"	"S2A-012"	"1"	"A"	66	1174
"651"	"S2A-012"	"1"	"B"	49	852
"652"	"S2A-013"	"1"	"A"	35	625
"653"	"S2A-013"	"1"	"B"	85	1399
"654"	"S2A-014"	"1"	"A"	22	623
"655"	"S2A-014"	"1"	"B"	41	1058
"656"	"S2A-014"	"1"	"C"	26	421
"657"	"S2A-015"	"1"	"A"	58	1113
"658"	"S2A-015"	"1"	"B"	56	939
"659"	"S2A-016"	"1"	"A"	31	994
"660"	"S2A-016"	"1"	"B"	38	1034
"661"	"S2A-017"	"1"	"A"	51	854
"662"	"S2A-017"	"1"	"B"	56	1067
"663"	"S2A-017"	"1"	"C"	5	103
"664"	"S2A-018"	"1"	"A"	48	1146
"665"	"S2A-018"	"1"	"B"	57	910
"666"	"S2A-019"	"1"	"A"	46	1015
"667"	"S2A-019"	"1"	"B"	51	1027
"668"	"S2A-020"	"1"	"A"	57	1086
"669"	"S2A-020"	"1"	"B"	62	939
"670"	"S2A-021"	"1"	"A"	32	727
"671"	"S2A-021"	"2"	"A"	42	693
"672"	"S2A-021"	"3"	"A"	6	142
"673"	"S2A-021"	"4"	"A"	9	111
"674"	"S2A-021"	"5"	"A"	19	479
"675"	"S2A-021"	"6"	"A"	15	249
"676"	"S2A-022"	"1"	"A"	31	853
"677"	"S2A-022"	"2"	"A"	82	1532
"678"	"S2A-023"	"1"	"A"	80	1115
"679"	"S2A-023"	"2"	"A"	7	130
"680"	"S2A-023"	"3"	"A"	9	88
"681"	"S2A-023"	"4"	"A"	7	149
"682"	"S2A-023"	"5"	"A"	17	506
"683"	"S2A-023"	"6"	"A"	11	136
"684"	"S2A-023"	"7"	"A"	8	89
"685"	"S2A-023"	"8"	"A"	7	86
"686"	"S2A-024"	"1"	"A"	99	2340
"687"	"S2A-025"	"1"	"A"	105	2554
"688"	"S2A-026"	"1"	"A"	46	670
"689"	"S2A-026"	"2"	"A"	43	667
"690"	"S2A-026"	"3"	"A"	67	777
"691"	"S2A-026"	"4"	"A"	17	238
"692"	"S2A-027"	"1"	"A"	77	1550
"693"	"S2A-027"	"2"	"A"	3	86
"694"	"S2A-027"	"3"	"A"	39	604
"695"	"S2A-027"	"4"	"A"	6	108
"696"	"S2A-028"	"1"	"A"	121	2361
"697"	"S2A-029"	"1"	"A"	30	572
"698"	"S2A-029"	"2"	"A"	101	1751
"699"	"S2A-030"	"1"	"?"	2	2
"700"	"S2A-030"	"1"	"A"	177	2523
"701"	"S2A-031"	"1"	"A"	133	3567
"702"	"S2A-031"	"1"	"Z"	5	5
"703"	"S2A-032"	"1"	"A"	34	657
"704"	"S2A-032"	"2"	"A"	54	807
"705"	"S2A-032"	"3"	"A"	40	612
"706"	"S2A-033"	"1"	"A"	141	2510
"707"	"S2A-034"	"1"	"A"	8	203
"708"	"S2A-034"	"2"	"A"	47	878
"709"	"S2A-034"	"3"	"A"	37	665
"710"	"S2A-034"	"4"	"A"	2	21
"711"	"S2A-034"	"5"	"A"	42	754
"712"	"S2A-035"	"1"	"A"	122	2614
"713"	"S2A-036"	"1"	"A"	74	2142
"714"	"S2A-037"	"1"	"A"	38	1264
"715"	"S2A-037"	"2"	"A"	22	660
"716"	"S2A-037"	"3"	"A"	25	735
"717"	"S2A-038"	"1"	"A"	90	2061
"718"	"S2A-039"	"1"	"A"	99	2697
"719"	"S2A-040"	"1"	"A"	147	2395
"720"	"S2A-041"	"1"	"A"	32	812
"721"	"S2A-041"	"2"	"A"	48	1031
"722"	"S2A-041"	"3"	"A"	30	662
"723"	"S2A-042"	"1"	"A"	179	2642
"724"	"S2A-043"	"1"	"A"	75	2776
"725"	"S2A-044"	"1"	"A"	127	2508
"726"	"S2A-045"	"1"	"A"	54	1029
"727"	"S2A-045"	"2"	"A"	31	896
"728"	"S2A-045"	"3"	"A"	14	373
"729"	"S2A-046"	"1"	"A"	165	2259
"730"	"S2A-047"	"1"	"A"	156	2304
"731"	"S2A-048"	"1"	"A"	203	2477
"732"	"S2A-049"	"1"	"A"	145	2666
"733"	"S2A-050"	"1"	"A"	162	2855
"734"	"S2A-051"	"1"	"A"	50	681
"735"	"S2A-051"	"2"	"A"	87	1267
"736"	"S2A-051"	"3"	"A"	19	268
"737"	"S2A-052"	"1"	"A"	82	2385
"738"	"S2A-053"	"1"	"A"	106	2388
"739"	"S2A-054"	"1"	"A"	139	2271
"740"	"S2A-055"	"1"	"A"	173	2362
"741"	"S2A-056"	"1"	"A"	132	2258
"742"	"S2A-057"	"1"	"A"	152	2273
"743"	"S2A-058"	"1"	"A"	229	2495
"744"	"S2A-058"	"1"	"Z"	12	11
"745"	"S2A-059"	"1"	"A"	121	2689
"746"	"S2A-060"	"1"	"A"	204	2449
"747"	"S2A-061"	"1"	"A"	119	1839
"748"	"S2A-061"	"2"	"A"	22	623
"749"	"S2A-062"	"1"	"A"	165	2417
"750"	"S2A-063"	"1"	"A"	60	1136
"751"	"S2A-063"	"2"	"A"	53	1110
"752"	"S2A-064"	"1"	"A"	116	2353
"753"	"S2A-065"	"1"	"A"	131	2311
