"id"	"orig.id"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"your.id"	"text.category"	"recording.date"	"recording.place"	"organizing.body"	"first.name"	"last.name"	"gender"	"age"	"nationality"	"mother.tongue"	"occupation"	"educational.level"	"copyright.statement"	"speech.unit.count"	"word.count"
638	638	"<S1B-067#1:A>"	"S1B-067"	"1"	"A"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"supreme court chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	33	283
639	639	"<S1B-067#1:B>"	"S1B-067"	"1"	"B"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"secretary of senate"	""	"male"	"41-45"	"filipino"	NA	"senate secretary"	"b.a."	"reproduced by permission. all rights reserved."	3	8
640	640	"<S1B-067#1:C>"	"S1B-067"	"1"	"C"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jose"	"sonza"	"male"	"46-50"	"filipino"	"cebuano"	"journalist"	"b.a."	"reproduced by permission. all rights reserved."	62	680
641	641	"<S1B-067#1:D>"	"S1B-067"	"1"	"D"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"sergio"	"apostol"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	88	1154
642	642	"<S1B-067#1:E>"	"S1B-067"	"1"	"E"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jose"	"flaminiano"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	13	120
643	643	"<S1B-068#?>"	"S1B-068"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1
644	644	"<S1B-068#1:A>"	"S1B-068"	"1"	"A"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"ruben"	"almadro"	"male"	"41-45"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	50	1048
645	645	"<S1B-068#1:B>"	"S1B-068"	"1"	"B"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"supreme court chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	25	175
646	646	"<S1B-068#1:C>"	"S1B-068"	"1"	"C"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hernando"	"perez"	"male"	"50+"	"filipino"	"tagalog"	"congressman/lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	58	1184
647	647	"<S1B-068#1:D>"	"S1B-068"	"1"	"D"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jose"	"flaminiano"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	7	83
648	648	"<S1B-068#1:E>"	"S1B-068"	"1"	"E"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"raul"	"daza"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	5	33
649	649	"<S1B-069#?>"	"S1B-069"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	21
650	650	"<S1B-069#1:A>"	"S1B-069"	"1"	"A"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	42	403
651	651	"<S1B-069#1:B>"	"S1B-069"	"1"	"B"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"franklin"	"drilon"	"male"	"50+"	"filipino"	"hiligaynon"	"senator/lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	7	171
652	652	"<S1B-069#1:C>"	"S1B-069"	"1"	"C"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"sergio"	"apostol"	"male"	NA	"filipino"	NA	"congressman/lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	4	42
653	653	"<S1B-069#1:D>"	"S1B-069"	"1"	"D"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"roan"	"libarios"	"male"	NA	"filipino"	NA	"congressman/lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	59	1274
654	654	"<S1B-069#1:E>"	"S1B-069"	"1"	"E"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jasmin"	"banal"	"male"	NA	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	30	281
655	655	"<S1B-069#1:F>"	"S1B-069"	"1"	"F"	"mlb"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jose"	"flaminiano"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	26	391
